VGO #16                                                     ,VGo                           ,"642 SAINT ANDREWS BLVD, Charleston, SC",$2.859
CIRCLE K #2721521                                           ,Circle K                      ,"588 E BAY ST, Charleston, SC",$2.899
BLUE WATER #15,Blue Water                    ,"484 SAVANNAH HWY, Charleston                              , SC",$2.899
CIRCLE K #1520                                              ,Circle K                      ,"130 RUTLEDGE AVE, Charleston, SC",$2.939
CIRCLE K #5124                                              ,Circle K                      ,"320 MEETING ST, Charleston, SC",$2.949
SCOTCHMAN #3167                                             ,Scotchman                     ,"420 MEETING ST, Charleston                              , SC",$2.949
CIRCLE K #5125                                              ,Circle K                      ,"737 KING ST, Charleston, SC",$2.949
THE CITY MARINA AND GAS                                     ,BP                            ,"17 LOCKWOOD DR, Charleston                              , SC",$2.959
OAKS SERVICE CENTER                                         ,Exxon                         ,"1227 KING ST, Charleston                              , SC",$2.959
MARATHON                                                    ,Marathon                      ,"1601 HARBOR VIEW RD, Charleston, SC",$2.969
CIRCLE K #2723694                                           ,Circle K                      ,"904 SAINT ANDREWS BLVD, Charleston, SC",$2.839
VGO #16                                                     ,VGo                           ,"642 SAINT ANDREWS BLVD, Charleston, SC",$2.859
CIRCLE K #2721521                                           ,Circle K                      ,"588 E BAY ST, Charleston, SC",$2.899
BLUE WATER #15,Blue Water                    ,"484 SAVANNAH HWY, Charleston                              , SC",$2.899
CIRCLE K #2723355                                           ,Circle K                      ,"1968 MEETING STREET RD, North Charleston, SC",$2.899
CIRCLE K #1520                                              ,Circle K                      ,"130 RUTLEDGE AVE, Charleston, SC",$2.939
CIRCLE K #5125                                              ,Circle K                      ,"737 KING ST, Charleston, SC",$2.949
SCOTCHMAN #3167                                             ,Scotchman                     ,"420 MEETING ST, Charleston                              , SC",$2.949
CIRCLE K #5124                                              ,Circle K                      ,"320 MEETING ST, Charleston, SC",$2.949
OAKS SERVICE CENTER                                         ,Exxon                         ,"1227 KING ST, Charleston                              , SC",$2.959
THE CITY MARINA AND GAS                                     ,BP                            ,"17 LOCKWOOD DR, Charleston                              , SC",$2.959
BLUE WATER #14,Blue Water                    ,"772 FOLLY RD, Charleston                              , SC",$2.939
BLUE WATER #16                                              ,Blue Water                    ,"1311 FOLLY RD, Charleston                              , SC",$2.959
