CIRCLE K #0014                                              ,Circle K                      ,"1001 N 16TH ST, Phoenix, AZ",$2.909
CIRCLE K #2872                                              ,Circle K                      ,"602 N 1ST AVE, Phoenix, AZ",$2.959
CIRCLE K #0114                                              ,Circle K                      ,"614 W ROOSEVELT ST, Phoenix, AZ",$2.959
CIRCLE K #3447                                              ,Circle K                      ,"975 N 7TH ST, Phoenix, AZ",$2.959
CIRCLE K #8841                                              ,Circle K                      ,"966 E VAN BUREN ST, Phoenix, AZ",$2.959
CIRCLE K #1843                                              ,Circle K                      ,"10 E BUCKEYE RD, Phoenix, AZ",$2.959
CIRCLE K #2902                                              ,Circle K                      ,"702 W MCDOWELL RD, Phoenix, AZ",$2.959
CIRCLE K #1569                                              ,Circle K                      ,"699 E BUCKEYE RD, Phoenix, AZ",$2.959
CIRCLE K #1795                                              ,Circle K                      ,"1732 W VAN BUREN ST, Phoenix, AZ",$2.959
CIRCLE K #1603                                              ,Circle K                      ,"1501 W MCDOWELL RD, Phoenix, AZ",$2.959
CIRCLE K #1998                                              ,Circle K                      ,"1834 W GRANT ST, Phoenix, AZ",$2.959
CIRCLE K #8596                                              ,Circle K                      ,"1602 E WASHINGTON ST, Phoenix, AZ",$2.959
CIRCLE K #8829                                              ,Circle K                      ,"2041 W VAN BUREN ST, Phoenix, AZ",$2.959
CIRCLE K #5023                                              ,Circle K                      ,"1533 E MCDOWELL RD, Phoenix, AZ",$2.959
CIRCLE K #1667                                              ,Circle K                      ,"2850 N 7TH ST, Phoenix, AZ",$2.959
CIRCLE K #2889                                              ,Circle K                      ,"1342 W THOMAS RD, Phoenix, AZ",$2.959
CIRCLE K #1584                                              ,Circle K                      ,"2640 W VAN BUREN ST, Phoenix, AZ",$2.959
CIRCLE K #6359                                              ,Circle K                      ,"309 E OSBORN RD, Phoenix, AZ",$2.959
WESTERN STATES PETRO                                        ,Unbranded                     ,"450 S 15TH AVE, Phoenix                                 , AZ",$2.989
76,76                            ,"1101 N 7TH ST, Phoenix, AZ",$3.059
ARCO #66489                                                 ,ARCO                          ,"2308 GRAND AVE, Phoenix, AZ",$3.099
MOBIL                                                       ,Mobil                         ,"305 E THOMAS RD, Phoenix, AZ",$3.259
3A FOOD STORE                                               ,Shell                         ,"2045 S 7TH AVE, Phoenix                                 , AZ",$3.409
SHELL SERVICE STATION                                       ,Shell                         ,"1515 E BUCKEYE RD, Phoenix, AZ",$4.099
CIRCLE K #8694                                              ,Circle K                      ,"1945 E VAN BUREN ST, Phoenix, AZ",
CIRCLE K #1844                                              ,Circle K                      ,"3508 W BASELINE RD, Laveen, AZ",$3.059
QUIKTRIP #493                                               ,QuikTrip                      ,"3445 W BASELINERD, Laveen, AZ",$3.059
FRYS FUEL #7087 (DISCOUNT AVAILABLE)                        ,Frys                          ,"7750 S 51ST AVE, Laveen                                  , AZ",$3.089
SAFEWAY #2709                                               ,Safeway                       ,"5035 W BASELINE RD, Laveen, AZ",$3.089
CIRCLE K #1655                                              ,Circle K                      ,"5110 W BASELINE RD, Laveen, AZ",$3.089
CHEVRON                                                     ,Chevron                       ,"17197 S 51ST AVENUE, Laveen                                  , AZ",$3.199
CHEVRON                                                     ,Chevron                       ,"5115 W SOUTHERN AVE, Laveen                                  , AZ",$3.359
CIRCLE K #5298                                              ,Circle K                      ,"1250 E CHANDLER BLVD, Phoenix, AZ",$3.099
CIRCLE K #1365                                              ,Circle K                      ,"3201 E CHANDLER BLVD, Phoenix, AZ",$3.099
FRYS FUEL #7628 (DISCOUNT AVAILABLE)                        ,Frys                          ,"3955 E CHANDLER BLVD, Phoenix                                 , AZ",$3.099
CIRCLE K #9164                                              ,Circle K                      ,"4001 E CHANDLER BLVD, Phoenix, AZ",$3.099
QUIKTRIP #1402                                              ,QuikTrip                      ,"4015 E COTTONWOOD LN, Phoenix, AZ",$3.099
CIRCLE K #6362                                              ,Circle K                      ,"4950 E CHANDLER BLVD, Phoenix, AZ",$3.099
CHEVRON                                                     ,Chevron                       ,"5002 E CHANDLER BLVD, Phoenix, AZ",$3.199
SHELL                                                       ,Shell                         ,"4601 E CHANDLER BLVD, Phoenix, AZ",$3.239
FOUR SONS FOOD STORE #509                                   ,Four Sons Food Store          ,"1446 E CHANDLER BLVD, Phoenix, AZ",$3.299
QUIKTRIP #434                                               ,QuikTrip                      ,"1915 W SOUTHERN AVE, Phoenix, AZ",$2.979
CIRCLE K #0693                                              ,Circle K                      ,"5850 S 19TH AVE, Phoenix, AZ",$2.979
CIRCLE K #1739                                              ,Circle K                      ,"7440 S 7TH AVE, Phoenix, AZ",$2.979
CIRCLE K #1968                                              ,Circle K                      ,"4303 S 19TH AVE, Phoenix, AZ",$2.979
76,76                            ,"5448 S CENTRAL AVE, Phoenix                                 , AZ",$2.999
CIRCLE K #1950                                              ,Circle K                      ,"9040 S CENTRAL AVE, Phoenix, AZ",$3.039
QUIKTRIP #493                                               ,QuikTrip                      ,"3445 W BASELINERD, Laveen, AZ",$3.059
CIRCLE K #8517                                              ,Circle K                      ,"7601 S CENTRAL AVE, Phoenix, AZ",$3.059
CIRCLE K #1844                                              ,Circle K                      ,"3508 W BASELINE RD, Laveen, AZ",$3.059
