COSTCO #0095                                                ,Costco                        ,"2219 S 37TH ST, Tacoma                                  , WA",$3.549
PILOT EXPRESS #1173                                         ,Pilot                         ,"1440 PUYALLUP AVE, Tacoma, WA",$3.599
APP S TACOMA WAY,Unbranded                     ,"3224 S TACOMA WAY, Tacoma                                  , WA",$3.599
UNION 76                                                    ,76                            ,"2802 E PORTLAND AVE, Tacoma, WA",$3.609
TAHOMA EXPRESS - PIONEER WAY                                ,76                            ,"2502 PIONEER WAY, Tacoma, WA",$3.609
76                                                          ,76                            ,"1302 PUYALLUP AVE, Tacoma, WA",$3.699
ARCO                                                        ,ARCO                          ,"1101 S SPRAGUE AVE, Tacoma                                  , WA",$3.899
SHELL                                                       ,Shell                         ,"3907 S 12TH ST, Tacoma, WA",$3.899
ARCO                                                        ,ARCO                          ,"3601 CENTER ST, Tacoma, WA",$3.899
SHELL                                                       ,Shell                         ,"1401 S SPRAGUE AVE, Tacoma, WA",$3.919
JACKSONS FOOD STORE #642                                    ,Jacksons Food Stores          ,"801 DIVISION AVE, Tacoma, WA",$3.959
7-ELEVEN #32308                                             ,7-Eleven                      ,"1901 S TRAFTON ST, Tacoma, WA",$3.979
JACKSONS FOOD STORE #641                                    ,Jacksons Food Stores          ,"3740 PACIFIC AVE, Tacoma                                  , WA",$3.979
SHELL                                                       ,Shell                         ,"1901 MARTIN LUTHER KING JR WAY, Tacoma, WA",$3.999
7-ELEVEN #26857                                             ,7-Eleven                      ,"3115 6TH AVE, Tacoma, WA",$3.999
7-Eleven #38699,7-Eleven                      ,"2631 S 38TH ST, Tacoma                                  , WA",$3.999
76                                                          ,76                            ,"3124 N 26TH ST, Tacoma                                  , WA",$3.999
HUNGRY BEAR MARKET,Brown Bear                    ,"3002 S 38TH ST, Tacoma, WA",$4.049
ASSOCIATED PETROLEUM PRODUCTS                               ,Pac Pride                     ,"2115 E RIVER ST, Tacoma                                  , WA",$4.089
CHEVRON                                                     ,Chevron                       ,"2501 PACIFIC AVE, Tacoma, WA",$4.099
SAFEWAY #1437                                               ,Safeway                       ,"1402 S 38TH ST, Tacoma, WA",$3.699
VP RACING FUELS                                             ,VP Racing Fuels               ,"1101 S 19TH ST, Tacoma                                  , WA",
CHECKERS II                                                 ,Spirit                        ,"2301 S 12TH ST, Tacoma, WA",
SHELL                                                       ,Shell                         ,"103 PIONEER WAY, Tacoma                                  , WA",
FRED MEYER FUEL CENTER #9390 (DISCOUNT AVAILABLE)           ,Fred Meyer                    ,"4505 S 19TH ST, Tacoma                                  , WA",$3.799
7-ELEVEN 38454                                              ,7-Eleven                      ,"5110 6TH AVE, Tacoma, WA",$3.859
ARCO                                                        ,ARCO                          ,"1101 S SPRAGUE AVE, Tacoma                                  , WA",$3.899
SHELL                                                       ,Shell                         ,"3907 S 12TH ST, Tacoma, WA",$3.899
SHELL                                                       ,Shell                         ,"1401 S SPRAGUE AVE, Tacoma, WA",$3.919
Marathon,Marathon                      ,"4401 6TH AVE, Tacoma, WA",$3.929
JACKSONS FOOD STORE #642                                    ,Jacksons Food Stores          ,"801 DIVISION AVE, Tacoma, WA",$3.959
7-ELEVEN #32308                                             ,7-Eleven                      ,"1901 S TRAFTON ST, Tacoma, WA",$3.979
76                                                          ,76                            ,"3124 N 26TH ST, Tacoma                                  , WA",$3.999
7-ELEVEN #26857                                             ,7-Eleven                      ,"3115 6TH AVE, Tacoma, WA",$3.999
SHELL                                                       ,Shell                         ,"1901 MARTIN LUTHER KING JR WAY, Tacoma, WA",$3.999
MY GOODS MARKET #3310                                       ,My Goods Market               ,"2601 N STEVENS ST, Tacoma, WA",$3.999
SHELL                                                       ,Shell                         ,"2518 N STEVENS ST, Tacoma                                  , WA",$3.999
CHEVRON                                                     ,Chevron                       ,"4401 S 19TH ST, Tacoma, WA",$3.999
CHEVRON                                                     ,Chevron                       ,"2501 PACIFIC AVE, Tacoma, WA",$4.099
CHECKERS II                                                 ,Spirit                        ,"2301 S 12TH ST, Tacoma, WA",
VP RACING FUELS                                             ,VP Racing Fuels               ,"1101 S 19TH ST, Tacoma                                  , WA",
COSTCO #0095                                                ,Costco                        ,"2219 S 37TH ST, Tacoma                                  , WA",$3.549
APP S TACOMA WAY,Unbranded                     ,"3224 S TACOMA WAY, Tacoma                                  , WA",$3.599
76                                                          ,76                            ,"1302 PUYALLUP AVE, Tacoma, WA",$3.699
FRED MEYER FUEL CENTER #9390 (DISCOUNT AVAILABLE)           ,Fred Meyer                    ,"4505 S 19TH ST, Tacoma                                  , WA",$3.799
ARCO                                                        ,ARCO                          ,"1101 N PEARL ST, Tacoma, WA",$3.799
7-ELEVEN 38454                                              ,7-Eleven                      ,"5110 6TH AVE, Tacoma, WA",$3.859
ARCO                                                        ,ARCO                          ,"1101 S SPRAGUE AVE, Tacoma                                  , WA",$3.899
SHELL                                                       ,Shell                         ,"3907 S 12TH ST, Tacoma, WA",$3.899
ARCO                                                        ,ARCO                          ,"3601 CENTER ST, Tacoma, WA",$3.899
7-ELEVEN #32307                                             ,7-Eleven                      ,"4701 S OAKES ST, Tacoma, WA",$3.899
SHELL                                                       ,Shell                         ,"1401 S SPRAGUE AVE, Tacoma, WA",$3.919
CIRCLE K                                                    ,Circle K                      ,"4704 S OAKES ST, Tacoma, WA",$3.919
Marathon,Marathon                      ,"4401 6TH AVE, Tacoma, WA",$3.929
JACKSONS FOOD STORE #642                                    ,Jacksons Food Stores          ,"801 DIVISION AVE, Tacoma, WA",$3.959
7-ELEVEN #32308                                             ,7-Eleven                      ,"1901 S TRAFTON ST, Tacoma, WA",$3.979
JACKSONS FOOD STORE #641                                    ,Jacksons Food Stores          ,"3740 PACIFIC AVE, Tacoma                                  , WA",$3.979
7-ELEVEN #26857                                             ,7-Eleven                      ,"3115 6TH AVE, Tacoma, WA",$3.999
SHELL                                                       ,Shell                         ,"1901 MARTIN LUTHER KING JR WAY, Tacoma, WA",$3.999
CHEVRON                                                     ,Chevron                       ,"4401 S 19TH ST, Tacoma, WA",$3.999
76                                                          ,76                            ,"3124 N 26TH ST, Tacoma                                  , WA",$3.999
7-Eleven #38699,7-Eleven                      ,"2631 S 38TH ST, Tacoma                                  , WA",$3.999
ROYAL FAIR                                                  ,Mobil                         ,"5015 CENTER ST, Tacoma, WA",$3.999
SHELL                                                       ,Shell                         ,"2518 N STEVENS ST, Tacoma                                  , WA",$3.999
MY GOODS MARKET #3310                                       ,My Goods Market               ,"2601 N STEVENS ST, Tacoma, WA",$3.999
HUNGRY BEAR MARKET,Brown Bear                    ,"3002 S 38TH ST, Tacoma, WA",$4.049
ASSOCIATED PETROLEUM PRODUCTS                               ,Pac Pride                     ,"2115 E RIVER ST, Tacoma                                  , WA",$4.089
CHEVRON                                                     ,Chevron                       ,"2501 PACIFIC AVE, Tacoma, WA",$4.099
VERMA FIRCREST SHELL                                        ,Shell                         ,"4211 CENTER ST, Tacoma, WA",$4.099
CHEVRON,Chevron                       ,"4814 CENTER ST, Tacoma                                  , WA",$4.199
SAFEWAY #1437                                               ,Safeway                       ,"1402 S 38TH ST, Tacoma, WA",$3.699
CHECKERS II                                                 ,Spirit                        ,"2301 S 12TH ST, Tacoma, WA",
