QUIKTRIP #386                                               ,QuikTrip                      ,"1010 E DOUGLAS AVE, Wichita, KS",$2.949
QUIKTRIP #326                                               ,QuikTrip                      ,"750 S BROADWAY ST, Wichita, KS",$2.949
QUIKTRIP #391                                               ,QuikTrip                      ,"730 N BROADWAY AVE, Wichita, KS",$2.949
QUIKTRIP #349                                               ,QuikTrip                      ,"1112 W DOUGLAS AVE, Wichita, KS",$2.949
QUIKTRIP #373                                               ,QuikTrip                      ,"1607 E LINCOLN ST, Wichita, KS",$2.949
QUIKTRIP #347                                               ,QuikTrip                      ,"1532 S SENECA ST, Wichita, KS",$2.949
QUIKTRIP #369                                               ,QuikTrip                      ,"625 S HILLSIDE ST, Wichita, KS",$2.949
VALERO                                                      ,Valero                        ,"851 S MERIDIAN AVE, Wichita                                 , KS",$2.949
PHILLIPD 66                                                 ,Phillips 66                   ,"565 S MARKET ST, Wichita                                 , KS",$2.959
CIRCLE K #2721641                                           ,Circle K                      ,"515 N SENECA ST, Wichita, KS",$2.959
PETRO AMERICA                                               ,Unbranded                     ,"2838 W CENTRAL AVE, Wichita                                 , KS",$2.919
STOP AND SHOP                                               ,Unbranded                     ,"1826 W 13TH ST N, Wichita, KS",$2.969
KWIK SHOP #748 (DISCOUNT AVAILABLE)                         ,Kwik Shop                     ,"2809 E DOUGLAS AVE, Wichita, KS",$2.979
KC GAS AND GROCERIES 1                                      ,Unbranded                     ,"1102 MAPLE ST, Wichita                                 , KS",
KC GAS AND GROCERIES,Unbranded                     ,"1161 N BROADWAY ST, Wichita                                 , KS",
MIDWAY OIL #2                                               ,Unbranded                     ,"1201 E LINCOLN ST, Wichita                                 , KS",
GENERAL STORE 6                                             ,Phillips 66                   ,"1003 S SENECA ST, Wichita, KS",
SHELL,Shell                         ,"1400 N MARKET ST, Wichita                                 , KS",
B D CONVENIENCE                                             ,Unbranded                     ,"1301 S HYDRAULIC ST, Wichita                                 , KS",
HILLSIDE VALERO                                             ,Valero                        ,"248 S HILLSIDE ST, Wichita                                 , KS",
K C GROCERY                                                 ,Conoco                        ,"1955 S WASHINGTON ST, Wichita                                 , KS",
DISCOUNT CIGARETTES AND GAS                                 ,Unbranded                     ,"2160 S BROADWAY ST, Wichita                                 , KS",
QUIKTRIP #368                                               ,QuikTrip                      ,"626 W 21ST ST N, Wichita, KS",$2.929
QUIKTRIP #391                                               ,QuikTrip                      ,"730 N BROADWAY AVE, Wichita, KS",$2.949
QUIKTRIP #386                                               ,QuikTrip                      ,"1010 E DOUGLAS AVE, Wichita, KS",$2.949
QUIKTRIP #326                                               ,QuikTrip                      ,"750 S BROADWAY ST, Wichita, KS",$2.949
QUIKTRIP #369                                               ,QuikTrip                      ,"625 S HILLSIDE ST, Wichita, KS",$2.949
QUIKTRIP #389                                               ,QuikTrip                      ,"4730 E CENTRAL AVE, Wichita, KS",$2.949
QUIKTRIP #373                                               ,QuikTrip                      ,"1607 E LINCOLN ST, Wichita, KS",$2.949
QUIKTRIP #349                                               ,QuikTrip                      ,"1112 W DOUGLAS AVE, Wichita, KS",$2.949
