MURPHY EXPRESS #8807                                        ,Murphy Express                ,"3853 W CAMPUS VIEW DR, West Jordan                             , UT",$3.829
SPEEDWAY #9427                                              ,Speedway                      ,"3731 JORDAN LANDING BLVD, West Jordan, UT",$3.849
HOLIDAY OIL #35                                             ,Holiday Oil                   ,"1317 W 7800 S, West Jordan, UT",$3.869
SMITHS FUEL #9158 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"4080 W 9000 S, West Jordan                             , UT",$3.879
MAVERIK COUNTRY STORE #295                                  ,Maverik                       ,"3985 W 7800 S, West Jordan                             , UT",$3.879
Maverik West Jordan #650                                    ,Maverik                       ,"5647 West 9000 South, West Jordan, UT",$3.879
MAVERIK COUNTRY STORE #550                                  ,Maverik                       ,"5701 W 7800 S, West Jordan, UT",$3.879
SMITHS FUEL #9274 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"5710 WEST 7800 SOUTH, West Jordan                             , UT",$3.879
HOLIDAY OIL #26                                             ,Holiday Oil                   ,"3191 W 7800 S, West Jordan, UT",$3.879
MAVERIK COUNTRY STORE #357                                  ,Maverik                       ,"2714 W 9000 S, West Jordan                             , UT",$3.879
HOLIDAY OIL #57                                             ,Holiday Oil                   ,"2730 W 7800 S, West Jordan, UT",$3.879
HOLIDAY OIL #16                                             ,Holiday Oil                   ,"1316 W 9000 S, West Jordan, UT",$3.879
SPEEDWAY #9412                                              ,Speedway                      ,"1285 W 9000 S, West Jordan, UT",$3.879
SMITHS FUEL #9495 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"1820 W 9000 S, West Jordan                             , UT",$3.889
7-ELEVEN #34991                                             ,7-Eleven                      ,"7953 S AIRPORT RD, West Jordan, UT",$3.899
CHEVRON                                                     ,Chevron                       ,"3963 W 9000 S, West Jordan                             , UT",$3.899
QUIK PIK MARKET 5                                           ,Shell                         ,"2729 W 9000 S, West Jordan, UT",$3.899
7-ELEVEN #33983                                             ,7-Eleven                      ,"2666 W 7800 S, West Jordan, UT",$3.899
HOLIDAY OIL #3                                              ,Holiday Oil                   ,"4464 NEW BINGHAM HWY, West Jordan, UT",$4.079
SAMS CLUB #4730                                             ,Sams Club                     ,"7571 S 3800 W, West Jordan, UT",
SUNMART #870                                                ,Chevron                       ,"8980 S REDWOOD RD, West Jordan, UT",
HOLIDAY OIL #30                                             ,Holiday Oil                   ,"3215 W 5400 S, Salt Lake City, UT",$3.809
HOLIDAY OIL #21                                             ,Holiday Oil                   ,"4783 W 6200 S, Salt Lake City, UT",$3.819
MURPHY EXPRESS #8807                                        ,Murphy Express                ,"3853 W CAMPUS VIEW DR, West Jordan                             , UT",$3.829
7-ELEVEN #23844                                             ,7-Eleven                      ,"4820 W 6200 S, Salt Lake City, UT",$3.829
SPEEDWAY #9427                                              ,Speedway                      ,"3731 JORDAN LANDING BLVD, West Jordan, UT",$3.849
