latitude,longitude
33.98266940000001,-118.2823306
34.0104777,-118.2918764
33.9737227,-118.3390032
33.9893432,-118.2518151
33.9893108,-118.225553
33.98880219999999,-118.2408867
34.0215381,-118.2396439
34.0277996,-118.2759589
34.00272,-118.2649505
34.0044271,-118.2395499
34.0042871,-118.2647678
34.0267312,-118.2488135
33.9931316,-118.2305276
34.0040182,-118.2831071
33.9891017,-118.2307618
33.9891276,-118.2299545
34.0238008,-118.2195391
34.025915,-118.2295453
33.974933,-118.2787451
34.0034264,-118.2833127
34.0272215,-118.2387809
33.9821411,-118.2830843
34.0106655,-118.2824139
34.0275783,-118.2579843
33.9889,-118.2779001
33.9823487,-118.2408186
34.0336504,-118.2620498
34.0344974,-118.2715739
34.0251614,-118.2388686
34.0042087,-118.2523882
34.004071,-118.2787223
34.0245377,-118.2499442
34.0211912,-118.2394721
33.9751808,-118.2646536
34.018596,-118.2554718
34.010502,-118.3005996
33.9671208,-118.2336344
33.9748875,-118.2843689
33.945708,-118.2167748
33.9596113,-118.282285
33.9680491,-118.2336765
33.98050240000001,-118.212916
33.97435000000001,-118.2306647
33.9544977,-118.2118856
33.959933,-118.2477057
33.9556558,-118.2243138
33.9598122,-118.2699067
33.9550487,-118.212571
33.9741885,-118.2817711
33.9605105,-118.269998
34.0209509,-118.1889688
33.971592,-118.1980856
34.0085275,-118.2113487
33.9888518,-118.1850614
34.0284202,-118.219562
34.0190785,-118.191768
33.9780731,-118.1850614
33.9873152,-118.1837193
34.0283218,-118.2188309
34.0199623,-118.2107433
33.9893853,-118.1856584
34.0906286,-118.3634753
34.0884097,-118.2866697
34.0837238,-118.3132437
34.0983548,-118.2991171
34.0834328,-118.299996
34.1005813,-118.2915158
34.0832322,-118.3008279
34.1036896,-118.3389938
34.1015227,-118.3139514
34.090558,-118.3360585
34.0985898,-118.3131704
34.0837322,-118.2980563
34.0906175,-118.3207715
34.0846811,-118.3089005
34.0765719,-118.3095506
34.0984222,-118.3176723
34.0814603,-118.2919906
34.0947238,-118.344574
34.0840638,-118.3607133
34.069217,-118.3087286
34.111673,-118.2871286
34.0759953,-118.311697
34.1056129,-118.3215519
34.0975713,-118.3444598
34.0951588,-118.308957
34.0983199,-118.3612612
34.0984752,-118.3653471
34.0831676,-118.2921619
34.0763937,-118.3586853
34.09524,-118.291511
34.1050567,-118.3098373
34.1013502,-118.3176274
34.0911697,-118.3270632
34.1291882,-118.3479083
34.0904948,-118.3390264
34.0837482,-118.3389808
34.1063657,-118.3302596
34.0765247,-118.3443131
34.0759123,-118.3438443
34.1107834,-118.2913627
34.1280606,-118.3472295
33.969507,-118.1780005
33.9695486,-118.1774292
33.9692205,-118.17423
33.9535652,-118.1961206
33.9516325,-118.1834847
33.9573544,-118.1841703
33.9167562,-118.2539886
33.9457685,-118.2829898
33.9452655,-118.2822348
33.9365997,-118.2080245
33.9458435,-118.2788593
33.9312779,-118.282317
33.92918,-118.2546274
33.9349974,-118.2828331
33.9239521,-118.2465636
33.9364682,-118.2131023
33.9289264,-118.2506522
33.9306847,-118.2120684
33.9300487,-118.2118856
33.9334744,-118.2655443
33.9592866,-118.3079247
33.9312213,-118.2921961
33.9452219,-118.2912644
33.9743185,-118.2999145
33.9307435,-118.2915886
33.9604235,-118.3094791
33.945659,-118.3000059
33.9743893,-118.3006338
33.9524032,-118.3087835
34.0330003,-118.1842388
34.0403927,-118.2121598
34.0408491,-118.1879063
34.0444319,-118.173933
34.0411629,-118.2377691
34.0167023,-118.1614614
34.0526686,-118.2037748
34.0428086,-118.2193159
34.0532598,-118.2032493
34.040806,-118.1716021
34.0577259,-118.2105605
34.0567922,-118.201924
33.9629531,-118.1473428
34.0004132,-118.1606098
33.9654823,-118.1511563
33.9758143,-118.1644149
33.966937,-118.1582331
34.0024051,-118.1666648
33.9598409,-118.1651462
33.9757719,-118.1628495
33.9419748,-118.1817367
33.9430656,-118.1975258
34.0071181,-118.1621639
33.8998183,-118.3737698
33.8804264,-118.353089
33.8372795,-118.3619231
33.9015626,-118.3607818
33.8726114,-118.3730622
33.8767715,-118.351959
33.8871103,-118.3978968
33.8876435,-118.3788825
33.8876956,-118.3616036
33.8719974,-118.3434325
33.8949719,-118.3791336
33.8586448,-118.3432955
33.901559,-118.3531803
33.8770007,-118.3442201
33.872581,-118.3814388
33.8726523,-118.3605639
33.8579306,-118.3702318
33.8542054,-118.3815301
33.8894495,-118.3610785
33.8899393,-118.3616036
33.9023045,-118.36739
33.8384071,-118.3857297
33.8620598,-118.3925518
33.8484285,-118.3617405
33.92888230000001,-118.3095278
33.9457892,-118.3295746
33.9450541,-118.3173596
33.9312878,-118.3086373
33.9596377,-118.3268806
33.9458088,-118.3261458
