CHEVRON                                                     ,Chevron                       ,"1501 S FLAMINGO RD, Hollywood                               , FL",$2.959
CHEVRON  #0736                                              ,Chevron                       ,"11173 SHERIDAN ST, Hollywood                               , FL",$2.999
7-ELEVEN #34791                                             ,7-Eleven                      ,"12351 TAFT ST, Hollywood, FL",$2.999
ORION                                                       ,Orion                         ,"11345 STIRLING RD, Hollywood, FL",$2.999
SHELL                                                       ,Shell                         ,"12490 SHERIDAN ST, Fort Lauderdale                         , FL",$2.999
PALM MARATHON                                               ,Marathon                      ,"10070 PINES BLVD, Hollywood, FL",$2.999
7-ELEVEN #34853                                             ,7-Eleven                      ,"200 S FLAMINGO RD, Hollywood, FL",$2.999
WAWA #5309                                                  ,Wawa                          ,"1600 S HIATUS RD, Hollywood, FL",$2.999
7-ELEVEN #34859                                             ,7-Eleven                      ,"11150 PEMBROKE RD, Hollywood, FL",$2.999
CHEVRON                                                     ,Chevron                       ,"12351 NW 18TH ST, Hollywood                               , FL",$3.059
CHEVRON                                                     ,Chevron                       ,"10255 PINES BLVD, Hollywood, FL",$3.059
SHELL                                                       ,Shell                         ,"9489 SHERIDAN ST, Hollywood                               , FL",$3.099
MARATHON                                                    ,Marathon                      ,"12500 PINES BLVD, Hollywood                               , FL",$3.199
WESTAR COOPER CITY                                          ,Westar                        ,"10050 STIRLING RD, Hollywood, FL",$3.219
SHELL                                                       ,Shell                         ,"5704 S FLAMINGO RD, Fort Lauderdale                         , FL",$3.399
MARATHON                                                    ,Marathon                      ,"10295 STIRLING RD, Fort Lauderdale, FL",$3.229
SUNSHINE GAS 195,Marathon                      ,"8300 W MCNAB RD, Pompano Beach, FL",$2.899
SIMPSON STATION                                             ,Mobil                         ,"5001 N PINE ISLAND RD, Fort Lauderdale                         , FL",$2.919
CHEVRON                                                     ,Chevron                       ,"4399 N PINE ISLAND RD, Fort Lauderdale                         , FL",$2.919
SUNSHINE GAS                                                ,Marathon                      ,"8790 W COMMERCIAL BLVD, Fort Lauderdale                         , FL",$2.949
