7-ELEVEN #41682                                             ,7-Eleven                      ,"4011 HIGHWAY 6 N, Houston, TX",$2.479
SUNMART #196                                                ,Exxon                         ,"1520 BARKER CYPRESS RD, Houston, TX",$2.599
MURPHY USA #6717 (DISCOUNT AVAILABLE)                       ,Murphy Usa                    ,"4814 HIGHWAY 6 N, Houston                                 , TX",$2.619
TIMEWISE FOOD STORE #829                                    ,Timewise Food Store           ,"4255 HIGHWAY 6 N, Houston, TX",$2.629
IN AND OUT FOOD STORE                                       ,Unbranded                     ,"16640 KIETH HARROW BLVD, Houston                                 , TX",$2.659
THREE L                                                     ,Diamond Shamrock              ,"6495 BARKER CYPRESS RD, Houston                                 , TX",$2.659
TEXACO 0381207                                              ,Texaco                        ,"3730 BARKER CYPRESS RD, Houston, TX",$2.669
SUPER K FOOD MART                                           ,Unbranded                     ,"4302 HICKORY DOWNS DR, Houston                                 , TX",$2.699
CIRCLE K #3595                                              ,Circle K                      ,"3003 BARKER CYPRESS, Houston, TX",$2.699
CYPRESS FOOD MART                                           ,Conoco                        ,"5210 BARKER CYPRESS RD, Houston                                 , TX",$2.699
CIRCLE K #2349                                              ,Circle K                      ,"1893 BARKER CYPRESS RD, Houston, TX",$2.699
SPEEDY STOP #301                                            ,Speedy Stop                   ,"4981 HIGHWAY 6 N, Houston                                 , TX",$2.759
HANDI STOP 25                                               ,Handi Stop                    ,"17702 KIETH HARROW BLVD, Houston, TX",$2.759
ONE STOP DEERFIELD                                          ,Valero                        ,"18323 CLAY RD, Houston, TX",$2.799
CHEVRON                                                     ,Chevron                       ,"18324 CLAY RD, Houston                                 , TX",$2.799
CLAY MART EXPRESS                                           ,Unbranded                     ,"18691 CLAY RD, Houston, TX",$2.799
SAMS FOOD MART                                              ,Valero                        ,"15410 W LITTLE YORK RD, Houston                                 , TX",$2.799
SPEEDY STOP                                                 ,Chevron                       ,"6102 HIGHWAY 6 N, Houston, TX",$2.799
SHELL SERVICE STATION                                       ,Shell                         ,"16955 W LITTLE YORK RD, Houston                                 , TX",$2.799
CHEVRON #375010                                             ,Chevron                       ,"5418 BARKER CYPRESS, Houston, TX",$2.799
GREENHOUSE FOOD MART                                        ,Exxon                         ,"3207 GREENHOUSE RD, Houston                                 , TX",$2.799
